item_id:token,movie_title:token_seq,release_year:token,genre:token_seq,interaction_count,pop_score,popularity_label
214,Jaws,1975,Action Horror,1685,0.001716775803344096,1
5,"Bug's Life, A",1998,Animation Children's Comedy,1683,0.0017147380872570405,1
211,Die Hard,1988,Action Thriller,1642,0.0016729649074724068,1
435,"Godfather: Part II, The",1974,Action Crime Drama,1641,0.001671946049428879,1
68,GoodFellas,1990,Crime Drama,1641,0.001671946049428879,1
79,"Hunt for Red October, The",1990,Action Thriller,1633,0.0016637951850806579,1
265,Speed,1994,Action Romance Thriller,1626,0.0016566631787759644,1
187,Indiana Jones and the Last Crusade,1989,Action Adventure,1608,0.0016383237339924665,1
712,Lethal Weapon,1987,Action Comedy Crime Drama,1604,0.001634248301818356,1
1,One Flew Over the Cuckoo's Nest,1975,Drama,1575,0.001604701418556054,1
207,Monty Python and the Holy Grail,1974,Comedy,1573,0.0016026637024689986,1
51,Toy Story 2,1999,Animation Children's Comedy,1556,0.0015853431157290285,1
548,When Harry Met Sally...,1989,Comedy Romance,1545,0.0015741356772502244,1
421,Casablanca,1942,Drama Romance War,1543,0.0015720979611631692,1
281,Good Will Hunting,1997,Drama,1523,0.001551720800292616,1
59,Mission: Impossible,1996,Action Adventure Mystery,1509,0.001537456787683229,1
316,Election,1999,Comedy,1495,0.0015231927750738417,1
377,Twelve Monkeys,1995,Drama Sci-Fi,1485,0.0015130041946385651,1
20,Big,1988,Comedy Fantasy,1473,0.0015007778981162333,1
169,"Breakfast Club, The",1985,Comedy Drama,1473,0.0015007778981162333,1
643,Beetlejuice,1988,Comedy Fantasy,1473,0.0015007778981162333,1
284,Edward Scissorhands,1990,Drama Romance,1457,0.001484476169419791,1
14,Ferris Bueller's Day Off,1986,Comedy,1455,0.0014824384533327357,1
28,Titanic,1997,Drama Romance,1450,0.0014773441631150974,1
238,X-Men,2000,Action Sci-Fi,1444,0.0014712310148539314,1
644,Star Trek: The Wrath of Khan,1982,Action Adventure Sci-Fi,1429,0.0014559481442010167,1
124,Dances with Wolves,1990,Adventure Drama Western,1429,0.0014559481442010167,1
97,Close Encounters of the Third Kind,1977,Drama Sci-Fi,1428,0.001454929286157489,1
318,Fight Club,1999,Drama,1418,0.0014447407057222124,1
178,Raising Arizona,1987,Comedy,1416,0.0014427029896351572,1
588,Batman,1989,Action Adventure Crime Drama,1411,0.0014376086994175189,1
433,Face/Off,1997,Action Sci-Fi Thriller,1410,0.0014365898413739911,1
353,Austin Powers: The Spy Who Shagged Me,1999,Comedy,1408,0.001434552125286936,1
157,Thelma & Louise,1991,Action Drama,1401,0.0014274201189822422,1
200,Butch Cassidy and the Sundance Kid,1969,Action Comedy Western,1400,0.0014264012609387147,1
516,Clerks,1994,Comedy,1398,0.0014243635448516593,1
165,As Good As It Gets,1997,Comedy Drama,1397,0.0014233446868081316,1
149,True Lies,1994,Action Adventure Comedy Romance,1387,0.0014131561063728552,1
539,Contact,1997,Drama Sci-Fi,1369,0.0013948166615893574,1
156,"Fifth Element, The",1997,Action Sci-Fi,1365,0.0013907412294152468,1
106,Amadeus,1984,Drama,1364,0.001389722371371719,1
291,There's Something About Mary,1998,Comedy,1356,0.001381571507023498,1
789,American Pie,1999,Comedy,1355,0.0013805526489799702,1
513,Arachnophobia,1990,Action Comedy Sci-Fi Thriller,1352,0.0013774960748493873,1
612,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963,Sci-Fi War,1352,0.0013774960748493873,1
222,Clueless,1995,Comedy Romance,1349,0.0013744395007188044,1
500,High Fidelity,2000,Comedy,1339,0.0013642509202835278,1
8,"Christmas Story, A",1983,Comedy Drama,1339,0.0013642509202835278,1
34,Aladdin,1992,Animation Children's Comedy Musical,1338,0.00136323206224,1
146,Get Shorty,1995,Action Comedy Drama,1335,0.0013601754881094172,1
386,Romancing the Stone,1984,Action Adventure Comedy Romance,1326,0.0013510057657176683,1
438,Jerry Maguire,1996,Drama Romance,1325,0.0013499869076741408,1
756,"Blues Brothers, The",1980,Action Comedy Musical,1323,0.0013479491915870854,1
196,"Rock, The",1996,Action Adventure Thriller,1319,0.0013438737594129748,1
184,"Fish Called Wanda, A",1988,Comedy,1309,0.0013336851789776981,1
529,Star Trek: First Contact,1996,Action Adventure Sci-Fi,1302,0.0013265531726730046,1
767,Annie Hall,1977,Comedy Romance,1289,0.0013133080181071451,1
532,Chicken Run,2000,Animation Children's Comedy,1289,0.0013133080181071451,1
306,"Talented Mr. Ripley, The",1999,Drama Mystery Thriller,1286,0.0013102514439765622,1
742,Willy Wonka and the Chocolate Factory,1971,Adventure Children's Comedy Fantasy,1284,0.0013082137278895068,1
215,Predator,1987,Action Sci-Fi Thriller,1281,0.001305157153758924,1
4,Erin Brockovich,2000,Drama,1279,0.0013031194376718685,1
542,Mission: Impossible 2,2000,Action Thriller,1278,0.001302100579628341,1
42,Rain Man,1988,Drama,1257,0.0012807045607142603,1
244,"South Park: Bigger, Longer and Uncut",1999,Animation Comedy,1253,0.0012766291285401497,1
175,"Graduate, The",1967,Drama Romance,1242,0.0012654216900613454,1
1159,Psycho,1960,Horror Thriller,1241,0.001264402832017818,1
337,Reservoir Dogs,1992,Crime Thriller,1241,0.001264402832017818,0
1229,Full Metal Jacket,1987,Action Drama War,1239,0.0012623651159307625,0
322,North by Northwest,1959,Drama Thriller,1234,0.0012572708257131242,0
40,Apollo 13,1995,Drama,1234,0.0012572708257131242,0
87,"Lost World: Jurassic Park, The",1997,Action Adventure Sci-Fi Thriller,1230,0.0012531953935390136,0
383,Four Weddings and a Funeral,1994,Comedy Romance,1219,0.0012419879550602095,0
995,"Clockwork Orange, A",1971,Sci-Fi,1216,0.0012389313809296264,0
604,"Rocky Horror Picture Show, The",1975,Comedy Horror Musical Sci-Fi,1216,0.0012389313809296264,0
487,Taxi Driver,1976,Drama Thriller,1215,0.0012379125228860989,0
791,"Blair Witch Project, The",1999,Horror,1213,0.0012358748067990435,0
1107,"Crying Game, The",1992,Drama Romance War,1213,0.0012358748067990435,0
1019,Robocop,1987,Action Crime Sci-Fi,1211,0.0012338370907119883,0
587,Superman,1978,Action Adventure Sci-Fi,1204,0.0012267050844072945,0
351,Rushmore,1998,Comedy,1203,0.001225686226363767,0
86,"Green Mile, The",1999,Drama Thriller,1200,0.001222629652233184,0
407,"Patriot, The",2000,Action Drama War,1198,0.0012205919361461288,0
176,Animal House,1978,Comedy,1193,0.0012154976459284904,0
336,Austin Powers: International Man of Mystery,1997,Comedy,1190,0.0012124410717979075,0
177,"Full Monty, The",1997,Comedy,1186,0.001208365639623797,0
601,Young Frankenstein,1974,Comedy Horror,1177,0.001199195917232048,0
560,Chinatown,1974,Film-Noir Mystery Thriller,1169,0.0011910450528838268,0
530,Sling Blade,1996,Drama Thriller,1162,0.001183913046579133,0
515,"Mask, The",1994,Comedy Crime Fantasy,1161,0.0011828941885356056,0
1467,Apocalypse Now,1979,Drama War,1159,0.0011808564724485502,0
425,Splash,1984,Comedy Fantasy Romance,1155,0.0011767810402744396,0
749,Planet of the Apes,1968,Action Sci-Fi,1150,0.0011716867500568013,0
21,Pleasantville,1998,Comedy,1148,0.001169649033969746,0
738,Back to the Future Part II,1989,Comedy Sci-Fi,1144,0.0011655736017956355,0
776,Starship Troopers,1997,Action Adventure Sci-Fi War,1143,0.0011645547437521078,0
506,Life Is Beautiful (La Vita Ã¨ bella),1997,Comedy Drama,1137,0.0011584415954909418,0
118,Die Hard 2,1990,Action Thriller,1123,0.0011441775828815548,0
739,Back to the Future Part III,1990,Comedy Sci-Fi Western,1121,0.0011421398667944994,0
317,Grosse Pointe Blank,1997,Comedy Crime,1121,0.0011421398667944994,0
243,Seven (Se7en),1995,Crime Thriller,1119,0.0011401021507074442,0
510,Boogie Nights,1997,Drama,1116,0.001137045576576861,0
148,Platoon,1986,Drama War,1116,0.001137045576576861,0
58,"Untouchables, The",1987,Action Crime Drama,1114,0.0011350078604898059,0
140,Rocky,1976,Action Drama,1113,0.0011339890024462782,0
647,Star Trek IV: The Voyage Home,1986,Action Adventure Sci-Fi,1112,0.0011329701444027505,0
206,Indiana Jones and the Temple of Doom,1984,Action Adventure,1111,0.0011319512863592228,0
538,Wayne's World,1992,Comedy,1108,0.0011288947122286399,0
798,This Is Spinal Tap,1984,Comedy Drama Musical,1108,0.0011288947122286399,0
204,Blazing Saddles,1974,Comedy Western,1105,0.001125838138098057,0
606,Stargate,1994,Action Adventure Sci-Fi,1104,0.0011248192800545293,0
568,Ghost,1990,Comedy Romance Thriller,1104,0.0011248192800545293,0
391,"Lion King, The",1994,Animation Children's Musical,1102,0.001122781563967474,0
662,Citizen Kane,1941,Drama,1102,0.001122781563967474,0
134,Armageddon,1998,Action Adventure Sci-Fi Thriller,1100,0.0011207438478804187,0
1110,Glory,1989,Action Drama War,1096,0.001116668415706308,0
90,"League of Their Own, A",1992,Comedy Drama,1091,0.0011115741254886697,0
634,M*A*S*H,1970,Comedy War,1090,0.001110555267445142,0
1299,Bull Durham,1988,Comedy,1088,0.0011085175513580868,0
127,Twister,1996,Action Adventure Romance Thriller,1087,0.0011074986933145591,0
525,Magnolia,1999,Drama,1084,0.0011044421191839762,0
897,Sneakers,1992,Crime Drama Sci-Fi,1080,0.0011003666870098656,0
344,"Big Lebowski, The",1998,Comedy Crime Mystery Thriller,1076,0.001096291254835755,0
1116,"Shining, The",1980,Horror,1074,0.0010942535387486996,0
535,My Cousin Vinny,1992,Comedy,1073,0.0010932346807051721,0
323,Gattaca,1997,Drama Sci-Fi Thriller,1067,0.0010871215324440061,0
793,"Good Morning, Vietnam",1987,Comedy Drama War,1066,0.0010861026744004784,0
896,Air Force One,1997,Action Thriller,1063,0.0010830461002698955,0
1076,Mars Attacks!,1996,Action Comedy Sci-Fi War,1062,0.0010820272422263678,0
44,Run Lola Run (Lola rennt),1998,Action Crime Romance,1058,0.0010779518100522572,0
1006,"Fly, The",1986,Horror Sci-Fi,1057,0.0010769329520087295,0
212,Mad Max,1979,Action Sci-Fi,1055,0.0010748952359216743,0
264,Sleepy Hollow,1999,Horror Romance,1052,0.0010718386617910914,0
151,Clear and Present Danger,1994,Action Adventure Thriller,1051,0.0010708198037475637,0
60,"Few Good Men, A",1992,Crime Drama,1048,0.0010677632296169806,0
720,"African Queen, The",1951,Action Adventure Romance War,1046,0.0010657255135299254,0
11,Beauty and the Beast,1991,Animation Children's Musical,1042,0.0010616500813558148,0
154,Gone with the Wind,1939,Drama Romance War,1040,0.0010596123652687594,0
91,Patriot Games,1992,Action Thriller,1039,0.001058593507225232,0
630,Rear Window,1954,Mystery Thriller,1034,0.0010534992170075936,0
771,"Sting, The",1973,Comedy Crime,1032,0.0010514615009205382,0
339,"Maltese Falcon, The",1941,Film-Noir Mystery,1032,0.0010514615009205382,0
892,"Thomas Crown Affair, The",1999,Action Thriller,1030,0.001049423784833483,0
429,Witness,1985,Drama Romance Thriller,1030,0.001049423784833483,0
559,"Honey, I Shrunk the Kids",1989,Adventure Children's Comedy Fantasy Sci-Fi,1027,0.0010463672107028999,0
648,Batman Returns,1992,Action Adventure Comedy Crime,1025,0.0010443294946158447,0
1257,"American President, The",1995,Comedy Drama Romance,1024,0.001043310636572317,0
397,Pretty Woman,1990,Comedy Romance,1022,0.0010412729204852618,0
665,Mad Max 2 (a.k.a. The Road Warrior),1981,Action Sci-Fi,1021,0.001040254062441734,0
208,"Little Mermaid, The",1989,Animation Children's Comedy Musical Romance,1014,0.0010331220561370406,0
327,Three Kings,1999,Drama War,1008,0.0010270089078758746,0
714,Lethal Weapon 2,1989,Action Comedy Crime Drama,1001,0.001019876901571181,0
120,Star Trek VI: The Undiscovered Country,1991,Action Adventure Sci-Fi,997,0.0010158014693970705,0
677,Cocoon,1985,Comedy Sci-Fi,996,0.0010147826113535428,0
46,Mary Poppins,1964,Children's Comedy Musical,995,0.001013763753310015,0
759,Time Bandits,1981,Adventure Fantasy Sci-Fi,995,0.001013763753310015,0
387,Top Gun,1986,Action Romance,993,0.0010117260372229599,0
547,"Boat, The (Das Boot)",1981,Action Drama War,990,0.0010086694630923767,0
203,"Mummy, The",1999,Action Adventure Horror Thriller,990,0.0010086694630923767,0
439,"Truman Show, The",1998,Drama,986,0.0010045940309182661,0
252,"X-Files: Fight the Future, The",1998,Mystery Sci-Fi Thriller,985,0.0010035751728747384,0
620,Star Trek: Generations,1994,Action Adventure Sci-Fi,980,0.0009984808826571003,0
1201,Dogma,1999,Comedy,977,0.0009954243085265172,0
332,"Nightmare Before Christmas, The",1993,Children's Comedy Musical,977,0.0009954243085265172,0
566,American Graffiti,1973,Comedy Drama,976,0.0009944054504829897,0
195,Unforgiven,1992,Western,973,0.0009913488763524066,0
121,Enemy of the State,1998,Action Thriller,972,0.0009903300183088791,0
1529,"English Patient, The",1996,Drama Romance War,971,0.0009893111602653514,0
276,"Player, The",1992,Comedy Drama,971,0.0009893111602653514,0
505,Leaving Las Vegas,1995,Drama Romance,971,0.0009893111602653514,0
730,Sleepless in Seattle,1993,Comedy Romance,970,0.0009882923022218237,0
534,"Perfect Storm, The",2000,Action Adventure Thriller,969,0.000987273444178296,0
167,"Mask of Zorro, The",1998,Action Adventure Romance,968,0.0009862545861347685,0
111,"Last of the Mohicans, The",1992,Action Romance War,965,0.0009831980120041854,0
832,Almost Famous,2000,Comedy Drama,963,0.0009811602959171302,0
434,In the Line of Fire,1993,Action Thriller,960,0.0009781037217865471,0
768,Tron,1982,Action Adventure Fantasy Sci-Fi,959,0.0009770848637430196,0
471,Chasing Amy,1997,Drama Romance,955,0.0009730094315689089,0
199,Caddyshack,1980,Comedy,953,0.0009709717154818536,0
126,Con Air,1997,Action Adventure Thriller,940,0.0009577265609159941,0
741,Army of Darkness,1993,Action Adventure Comedy Horror Sci-Fi,938,0.0009556888448289388,0
815,Dave,1993,Comedy Romance,938,0.0009556888448289388,0
76,"Fisher King, The",1991,Comedy Drama Romance,937,0.0009546699867854112,0
809,"Nutty Professor, The",1996,Comedy Fantasy Romance Sci-Fi,935,0.0009526322706983559,0
256,Heat,1995,Action Crime Thriller,929,0.00094651912243719,0
610,Fantasia,1940,Animation Children's Musical,929,0.00094651912243719,0
237,"Bridge on the River Kwai, The",1957,Drama War,927,0.0009444814063501347,0
636,Little Shop of Horrors,1986,Comedy Horror Musical,927,0.0009444814063501347,0
436,Elizabeth,1998,Drama,925,0.0009424436902630793,0
455,Eyes Wide Shut,1999,Drama,924,0.0009414248322195517,0
142,Ed Wood,1994,Comedy Drama,921,0.0009383682580889687,0
598,Cool Hand Luke,1967,Comedy Drama,920,0.0009373494000454411,0
48,To Kill a Mockingbird,1962,Drama,919,0.0009363305420019134,0
232,Bowfinger,1999,Comedy,918,0.0009353116839583858,0
384,Dead Man Walking,1995,Drama,917,0.0009342928259148581,0
645,Star Trek III: The Search for Spock,1984,Action Adventure Sci-Fi,915,0.0009322551098278028,0
757,Monty Python's Life of Brian,1979,Comedy,915,0.0009322551098278028,0
983,"Professional, The (a.k.a. Leon: The Professional)",1994,Crime Drama Romance Thriller,915,0.0009322551098278028,0
556,AlienÂ³,1992,Action Horror Sci-Fi Thriller,912,0.0009291985356972199,0
1242,Brazil,1985,Sci-Fi,907,0.0009241042454795816,0
1062,Say Anything...,1989,Comedy Drama Romance,904,0.0009210476713489986,0
910,From Dusk Till Dawn,1996,Action Comedy Crime Horror Thriller,902,0.0009190099552619433,0
273,Out of Sight,1998,Action Crime Romance,900,0.000916972239174888,0
393,Moonstruck,1987,Comedy,899,0.0009159533811313604,0
522,"Wedding Singer, The",1998,Comedy Romance,894,0.0009108590909137221,0
372,Wag the Dog,1997,Comedy Drama,894,0.0009108590909137221,0
201,Crocodile Dundee,1986,Adventure Comedy,893,0.0009098402328701945,0
1059,Deep Impact,1998,Action Drama Sci-Fi Thriller,890,0.0009067836587396115,0
217,Goldfinger,1964,Action,890,0.0009067836587396115,0
1254,Vertigo,1958,Mystery Thriller,888,0.0009047459426525561,0
865,Spaceballs,1987,Comedy Sci-Fi,887,0.0009037270846090286,0
844,GoldenEye,1995,Action Adventure Thriller,883,0.0008996516524349178,0
1119,Scream,1996,Horror Thriller,878,0.0008945573622172796,0
1713,U-571,2000,Action Thriller,878,0.0008945573622172796,0
703,Escape from New York,1981,Action Adventure Sci-Fi Thriller,877,0.0008935385041737519,0
1211,Fast Times at Ridgemont High,1982,Comedy,874,0.000890481930043169,0
432,"Exorcist, The",1973,Horror,873,0.0008894630719996413,0
906,"Game, The",1997,Mystery Thriller,873,0.0008894630719996413,0
375,Misery,1990,Horror,873,0.0008894630719996413,0
536,"Wrong Trousers, The",1993,Animation Comedy,872,0.0008884442139561137,0
946,"Grifters, The",1990,Crime Drama Film-Noir,870,0.0008864064978690584,0
15,"Sound of Music, The",1965,Musical,869,0.0008853876398255307,0
257,"Insider, The",1999,Drama,867,0.0008833499237384754,0
733,Man on the Moon,1999,Comedy Drama,863,0.0008792744915643648,0
609,Lady and the Tramp,1955,Animation Children's Comedy Musical Romance,861,0.0008772367754773095,0
75,Backdraft,1991,Action Drama,859,0.0008751990593902542,0
113,Starman,1984,Adventure Drama Romance Sci-Fi,858,0.0008741802013467265,0
1015,Dark City,1998,Film-Noir Sci-Fi Thriller,858,0.0008741802013467265,0
320,Tomorrow Never Dies,1997,Action Romance Thriller,854,0.0008701047691726159,0
137,"French Connection, The",1971,Action Crime Drama Thriller,854,0.0008701047691726159,0
1151,Office Space,1999,Comedy Romance,854,0.0008701047691726159,0
288,Mystery Men,1999,Action Adventure Comedy,849,0.0008650104789549777,0
615,Pee-wee's Big Adventure,1985,Comedy,849,0.0008650104789549777,0
1146,"World Is Not Enough, The",1999,Action Thriller,847,0.0008629727628679224,0
1309,Risky Business,1983,Comedy,842,0.0008578784726502841,0
53,Dead Poets Society,1989,Drama,841,0.0008568596146067564,0
841,Superman II,1980,Action Adventure Sci-Fi,838,0.0008538030404761735,0
373,Boys Don't Cry,1999,Drama,837,0.0008527841824326458,0
1349,Diner,1982,Comedy Drama,833,0.0008487087502585352,0
1311,"Big Chill, The",1983,Comedy Drama,832,0.0008476898922150076,0
942,Desperately Seeking Susan,1985,Comedy Romance,832,0.0008476898922150076,0
901,Mrs. Doubtfire,1993,Comedy,830,0.0008456521761279523,0
418,Sense and Sensibility,1995,Drama Romance,825,0.000840557885910314,0
1196,Some Like It Hot,1959,Comedy Crime,825,0.000840557885910314,0
930,Wild Wild West,1999,Action Sci-Fi Western,824,0.0008395390278667864,0
626,Trading Places,1983,Comedy,823,0.0008385201698232587,0
147,Die Hard: With a Vengeance,1995,Action Thriller,821,0.0008364824537362034,0
770,L.A. Story,1991,Comedy Romance,820,0.0008354635956926757,0
216,"Good, The Bad and The Ugly, The",1966,Action Western,817,0.0008324070215620928,0
466,"Firm, The",1993,Drama Thriller,816,0.0008313881635185651,0
691,You've Got Mail,1998,Comedy Romance,813,0.0008283315893879822,0
518,Meet the Parents,2000,Comedy,811,0.0008262938733009269,0
719,Lawrence of Arabia,1962,Adventure War,810,0.0008252750152573992,0
912,"Devil's Advocate, The",1997,Crime Horror Mystery Thriller,809,0.0008242561572138716,0
401,My Best Friend's Wedding,1997,Comedy Romance,807,0.0008222184411268163,0
427,Grease,1978,Comedy Musical Romance,804,0.0008191618669962333,0
1182,Grumpy Old Men,1993,Comedy,802,0.000817124150909178,0
1043,Parenthood,1989,Comedy Drama,802,0.000817124150909178,0
138,Conspiracy Theory,1997,Action Mystery Romance Thriller,800,0.0008150864348221227,0
763,Star Trek: Insurrection,1998,Action Sci-Fi,800,0.0008150864348221227,0
139,What About Bob?,1991,Comedy,800,0.0008150864348221227,0
189,Blade,1998,Action Adventure Horror,799,0.000814067576778595,0
94,Ronin,1998,Action Crime Thriller,799,0.000814067576778595,0
520,Frequency,2000,Drama Thriller,797,0.0008120298606915397,0
164,Lethal Weapon 3,1992,Action Comedy Crime Drama,794,0.0008089732865609568,0
1345,Heathers,1989,Comedy,794,0.0008089732865609568,0
241,"Negotiator, The",1998,Action Thriller,793,0.0008079544285174291,0
679,Willow,1988,Action Adventure Fantasy,790,0.0008048978543868462,0
1121,Roger & Me,1989,Comedy Documentary,789,0.0008038789963433185,0
84,Maverick,1994,Action Comedy Western,788,0.0008028601382997909,0
123,"Thin Red Line, The",1998,Action Drama War,787,0.0008018412802562632,0
1150,Poltergeist,1982,Horror Thriller,784,0.0007987847061256803,0
642,Star Trek: The Motion Picture,1979,Action Adventure Sci-Fi,782,0.000796746990038625,0
866,Broadcast News,1987,Comedy Drama Romance,780,0.0007947092739515697,0
867,Big Daddy,1999,Comedy,779,0.000793690415908042,0
99,Alien: Resurrection,1997,Action Horror Sci-Fi,776,0.0007906338417774589,0
755,Dune,1984,Fantasy Sci-Fi,776,0.0007906338417774589,0
528,Swingers,1996,Comedy Drama,774,0.0007885961256904036,0
70,Double Jeopardy,1999,Action Thriller,771,0.0007855395515598207,0
1298,Do the Right Thing,1989,Comedy Drama,770,0.000784520693516293,0
716,Gremlins,1984,Comedy Horror,769,0.0007835018354727654,0
861,Mission to Mars,2000,Sci-Fi,769,0.0007835018354727654,0
1195,Notting Hill,1999,Comedy Romance,769,0.0007835018354727654,0
576,Batman Forever,1995,Action Adventure Comedy Crime,767,0.0007814641193857101,0
95,Payback,1999,Action Thriller,765,0.0007794264032986548,0
920,Entrapment,1999,Crime Thriller,763,0.0007773886872115995,0
766,Field of Dreams,1989,Drama,763,0.0007773886872115995,0
1099,Dangerous Liaisons,1988,Drama Romance,761,0.0007753509711245442,0
110,Like Water for Chocolate (Como agua para chocolate),1992,Drama Romance,761,0.0007753509711245442,0
729,From Russia with Love,1963,Action,759,0.0007733132550374889,0
350,Shanghai Noon,2000,Action,759,0.0007733132550374889,0
1252,Midnight Run,1988,Action Adventure Comedy Crime,759,0.0007733132550374889,0
830,Dog Day Afternoon,1975,Comedy Crime Drama,755,0.0007692378228633782,0
1241,"Manchurian Candidate, The",1962,Film-Noir Thriller,754,0.0007682189648198506,0
1136,Kingpin,1996,Comedy,753,0.0007672001067763229,0
9,Snow White and the Seven Dwarfs,1937,Animation Children's Musical,752,0.0007661812487327953,0
658,Ace Ventura: Pet Detective,1994,Comedy,751,0.0007651623906892676,0
490,"Godfather: Part III, The",1990,Action Crime Drama,751,0.0007651623906892676,0
333,Romy and Michele's High School Reunion,1997,Comedy,749,0.0007631246746022123,0
293,JFK,1991,Drama Mystery,748,0.0007621058165586847,0
415,West Side Story,1961,Musical Romance,748,0.0007621058165586847,0
213,King Kong,1933,Action Adventure Horror,746,0.0007600681004716294,0
462,Crimson Tide,1995,Drama Thriller War,744,0.0007580303843845741,0
652,"13th Warrior, The",1999,Action Horror Thriller,744,0.0007580303843845741,0
1587,"Right Stuff, The",1983,Drama,743,0.0007570115263410464,0
727,Singin' in the Rain,1952,Musical Romance,742,0.0007559926682975188,0
1271,Repo Man,1984,Comedy Sci-Fi,740,0.0007539549522104635,0
926,Basic Instinct,1992,Mystery Thriller,739,0.0007529360941669358,0
543,Trainspotting,1996,Drama,737,0.0007508983780798805,0
799,"Muppet Movie, The",1979,Children's Comedy,736,0.0007498795200363528,0
923,"Simple Plan, A",1998,Crime Thriller,735,0.0007488606619928252,0
721,Excalibur,1981,Action Drama Fantasy Romance,735,0.0007488606619928252,0
991,"Thing, The",1982,Action Horror Sci-Fi Thriller,733,0.0007468229459057699,0
1002,Sleeper,1973,Comedy Sci-Fi,733,0.0007468229459057699,0
1314,Stripes,1981,Comedy,732,0.0007458040878622422,0
631,"Rocketeer, The",1991,Action Adventure Sci-Fi,729,0.0007427475137316593,0
483,Interview with the Vampire,1994,Drama Horror,728,0.0007417286556881316,0
800,Fatal Attraction,1987,Thriller,727,0.000740709797644604,0
376,"Crow, The",1994,Action Romance Thriller,725,0.0007386720815575487,0
1042,Highlander,1986,Action Adventure,725,0.0007386720815575487,0
1233,Nikita (La Femme Nikita),1990,Thriller,724,0.000737653223514021,0
