item_id:token,name:token_seq,popularity_label,interaction_count
1682,Swedish House Mafia,1,3974
120,Macklemore & Ryan Lewis,1,3971
1673,Bon Jovi,1,3957
116,Lykke Li,1,3942
326,Phoenix,1,3932
613,Sigur RÃÂ³s,1,3894
417,Bonobo,1,3893
2816,Eric Clapton,1,3862
663,Frank Sinatra,1,3851
3097,Miley Cyrus,1,3841
1360,Pharrell Williams,1,3829
2032,Alice in Chains,1,3825
1277,Ke$ha,1,3824
6301,Limp Bizkit,1,3816
154,Elton John,1,3789
1887,Nightwish,1,3789
3989,Simon & Garfunkel,1,3789
1705,The Lumineers,1,3777
127,Jack Johnson,1,3774
677,Fall Out Boy,1,3765
348,Joy Division,1,3765
1076,Dire Straits,1,3764
2387,Christina Aguilera,1,3752
82,Blur,1,3745
2067,Avril Lavigne,1,3744
3125,The Beach Boys,1,3740
2468,Deep Purple,1,3732
1384,Kelly Clarkson,1,3724
3099,Jason DerÃÂ¼lo,1,3720
2091,Bastille,1,3714
6317,Kid Cudi,1,3703
998,The Clash,1,3638
393,Beastie Boys,1,3622
1546,Yeah Yeah Yeahs,1,3595
3000,Bob Marley & The Wailers,1,3586
810,Death Cab for Cutie,1,3571
6802,Lil' Wayne,1,3554
765,Stevie Wonder,1,3542
1681,Three Days Grace,1,3507
4356,Papa Roach,1,3502
2241,Neil Young,1,3500
1964,LMFAO,1,3487
121,The Kooks,1,3482
1390,Alicia Keys,1,3472
172,Crystal Castles,1,3470
124,The Script,1,3454
5309,Snow Patrol,1,3452
3178,Kasabian,1,3447
2592,Pantera,1,3381
421,Portishead,1,3379
1880,Avenged Sevenfold,1,3376
1965,Weezer,1,3375
238,BjÃÂ¶rk,1,3368
1236,Megadeth,1,3310
636,Jennifer Lopez,1,3302
3884,Alt-J,1,3296
5444,Snoop Dogg,1,3282
1970,My Chemical Romance,1,3281
1650,Passion Pit,1,3279
1241,Slayer,1,3278
1065,John Legend,1,3265
173,RÃÂ¶yksopp,1,3264
3256,Deftones,1,3249
853,Tool,1,3237
284,Kendrick Lamar,1,3233
1701,Pendulum,1,3226
1661,Bullet for My Valentine,1,3219
1373,Michael BublÃÂ©,1,3213
1967,Sum 41,1,3209
9529,Justin Bieber,1,3205
1503,Norah Jones,1,3204
1556,MotÃÂ¶rhead,1,3201
2185,Scorpions,1,3198
6984,Bob Marley,1,3194
2010,Incubus,1,3182
1922,AWOLNATION,1,3179
1709,The Shins,1,3136
4035,3 Doors Down,1,3127
62,Disclosure,1,3125
131,Miles Davis,1,3121
6583,Ozzy Osbourne,1,3117
1674,TiÃÂ«sto,1,3111
248,OutKast,1,3101
3123,Judas Priest,1,3088
2393,Regina Spektor,1,3078
5588,Jessie J,1,3077
1427,In Flames,1,3054
1647,Hans Zimmer,1,3052
298,The Velvet Underground,1,3050
126,Lily Allen,1,3047
423,Air,1,3039
395,The Chemical Brothers,1,3024
277,Modest Mouse,1,3013
148,Nina Simone,1,3011
661,Mariah Carey,1,3006
1074,The Police,1,2983
3109,2Pac,1,2983
1286,Fleet Foxes,1,2980
470,Johann Sebastian Bach,1,2971
1066,The Cranberries,1,2958
185,Dr. Dre,1,2953
10203,Wiz Khalifa,1,2953
4008,Frank Ocean,1,2939
2251,Ludwig van Beethoven,1,2938
8638,Marvin Gaye,1,2927
852,Lynyrd Skynyrd,1,2916
8877,will.i.am,1,2904
1368,The Fray,1,2902
874,Ramones,1,2886
3778,A Day to Remember,1,2873
4566,The Kinks,1,2872
1356,Keane,1,2871
401,Justice,1,2858
461,Soundgarden,1,2837
611,Iron & Wine,1,2833
1527,Passenger,1,2830
5633,Nero,1,2806
3032,Beirut,1,2805
4042,B.o.B,1,2798
1637,Within Temptation,1,2796
6404,50 Cent,1,2791
1300,Birdy,1,2787
2007,Band of Horses,1,2785
6406,Bloc Party,1,2784
6420,Breaking Benjamin,1,2779
592,Edward Sharpe & The Magnetic Zeros,1,2779
2064,Demi Lovato,1,2774
1374,Armin van Buuren,1,2769
7534,Wolfgang Amadeus Mozart,1,2764
734,M.I.A.,1,2754
907,New Order,1,2752
787,Sia,1,2732
1796,Beach House,1,2732
1329,Dream Theater,1,2728
438,Sting,1,2727
7018,The Notorious B.I.G.,1,2691
1328,Van Halen,1,2657
5128,Phil Collins,1,2650
186,Nas,1,2644
158,Tame Impala,1,2623
4496,The Jimi Hendrix Experience,1,2620
225,Foals,1,2614
659,Robin Thicke,1,2608
1641,Tenacious D,1,2608
3641,The Naked and Famous,1,2607
4869,Kiss,1,2598
1873,Opeth,1,2577
1266,Marina & the Diamonds,1,2575
6402,Skillet,1,2545
2466,ABBA,1,2541
1725,Interpol,1,2536
723,James Blake,1,2529
1391,Robbie Williams,1,2520
1483,Zedd,1,2519
3996,Jack White,1,2515
4340,Feist,1,2509
4039,A Perfect Circle,1,2497
2773,A$AP Rocky,1,2491
3101,Owl City,1,2489
3619,Panic! at the Disco,1,2483
5632,Empire of the Sun,1,2470
3747,Glee Cast,1,2470
1881,Audioslave,1,2468
3774,Bring Me the Horizon,1,2467
264,Boards of Canada,1,2466
3852,Apocalyptica,1,2459
1020,Talking Heads,1,2458
937,Nick Cave & The Bad Seeds,1,2449
2532,Bombay Bicycle Club,1,2448
2480,Journey,1,2447
1538,Louis Armstrong,1,2443
2988,The Knife,1,2430
83,Grimes,1,2420
9266,Taio Cruz,1,2418
1751,Billy Joel,1,2406
1864,Stone Sour,1,2400
7744,ZZ Top,1,2394
6418,30 Seconds to Mars,1,2394
1372,James Blunt,1,2393
5595,The Wanted,1,2384
1256,Mogwai,1,2383
261,Aphex Twin,1,2380
3721,Fatboy Slim,1,2379
3602,Aretha Franklin,1,2364
3851,Seether,1,2343
5598,The Temper Trap,1,2342
1878,Five Finger Death Punch,1,2340
1805,Grizzly Bear,0,2337
2392,Ben Howard,0,2335
149,Ray Charles,0,2323
1351,Eagles,0,2318
5448,Jay-Z & Kanye West,0,2307
68,Parov Stelar,0,2306
5455,Enrique Iglesias,0,2304
1070,Cat Power,0,2304
1997,Sublime,0,2296
981,Sufjan Stevens,0,2293
168,Ella Fitzgerald,0,2291
4070,Alanis Morissette,0,2288
7613,Yann Tiersen,0,2287
2812,Icona Pop,0,2284
634,Alex Clare,0,2282
6407,Alice Cooper,0,2281
615,Van Morrison,0,2256
1084,Belle and Sebastian,0,2255
2595,Leonard Cohen,0,2252
729,Killswitch Engage,0,2244
430,Metric,0,2238
5050,No Doubt,0,2237
163,Bryan Adams,0,2220
1827,Jamiroquai,0,2216
1001,Rush,0,2213
687,Sonic Youth,0,2205
1436,Amon Amarth,0,2200
2606,JosÃÂ© GonzÃÂ¡lez,0,2185
7076,Santana,0,2184
915,Kylie Minogue,0,2177
2522,Jimmy Eat World,0,2176
3991,Otis Redding,0,2174
649,Whitney Houston,0,2169
7586,Simple Plan,0,2165
1026,James Brown,0,2158
1221,Thievery Corporation,0,2158
19,Mastodon,0,2152
766,Metronomy,0,2150
1737,Genesis,0,2139
4345,Enya,0,2138
1005,Dropkick Murphys,0,2138
892,Blondie,0,2128
2079,Shinedown,0,2127
1749,Prince,0,2122
4011,Ne-Yo,0,2119
1763,Bee Gees,0,2116
2035,Children of Bodom,0,2110
4053,Cream,0,2107
3589,Ludovico Einaudi,0,2107
1759,Lou Reed,0,2106
1699,Billy Talent,0,2104
2830,Jefferson Airplane,0,2098
1530,Psy,0,2095
727,Bright Eyes,0,2082
203,LCD Soundsystem,0,2080
1958,Miike Snow,0,2076
3538,Rick Ross,0,2069
1216,Wu-Tang Clan,0,2047
4308,Sean Paul,0,2046
5918,Tyga,0,2042
2098,Christina Perri,0,2042
12051,Nelly Furtado,0,2042
1290,The Verve,0,2027
1393,Emeli SandÃÂ©,0,2015
3171,Duran Duran,0,2009
9612,Damien Rice,0,2008
4066,Kaiser Chiefs,0,2008
1664,Godsmack,0,2005
150,FrÃÂ©dÃÂ©ric Chopin,0,2005
3128,Electric Light Orchestra,0,1996
1684,Rob Zombie,0,1996
1974,Far East Movement,0,1989
174,La Roux,0,1986
399,Hot Chip,0,1985
1978,Goo Goo Dolls,0,1985
920,Paul Simon,0,1984
483,Major Lazer,0,1983
226,Santigold,0,1981
3423,Counting Crows,0,1980
3197,Cypress Hill,0,1975
6087,Explosions in the Sky,0,1969
9262,Dido,0,1968
1856,Lamb of God,0,1966
1907,Chase & Status,0,1961
5192,Dio,0,1957
1017,Iggy Pop,0,1955
522,Burial,0,1953
23,CHVRCHES,0,1949
5054,Grouplove,0,1936
4367,Antonio Vivaldi,0,1926
6861,Lupe Fiasco,0,1925
2965,Kings of Convenience,0,1917
571,Aloe Blacc,0,1913
6507,Capital Cities,0,1911
3343,Blind Guardian,0,1909
1263,Lady Antebellum,0,1908
400,The Roots,0,1906
872,Porcupine Tree,0,1905
3995,J. Cole,0,1897
799,Elliott Smith,0,1896
8800,Nat King Cole,0,1896
620,CÃÂ©line Dion,0,1889
4083,John Lennon,0,1875
1275,Sara Bareilles,0,1869
692,Kavinsky,0,1869
1279,Garbage,0,1868
985,Animal Collective,0,1867
1605,St. Vincent,0,1866
1817,Faith No More,0,1864
694,Bad Religion,0,1864
1882,Trivium,0,1864
4516,Billie Holiday,0,1862
1999,Stone Temple Pilots,0,1862
2675,The Tallest Man on Earth,0,1861
5922,Wolfmother,0,1859
2272,Ennio Morricone,0,1859
5905,Janis Joplin,0,1857
4165,John Williams,0,1855
73,Tegan and Sara,0,1850
1752,Toto,0,1849
791,Paul McCartney,0,1839
2645,Cat Stevens,0,1835
2937,The Game,0,1832
3462,a-ha,0,1828
1711,The Flaming Lips,0,1819
866,PJ Harvey,0,1817
5880,Broken Bells,0,1816
1780,Nick Drake,0,1803
1253,Sepultura,0,1802
760,Clean Bandit,0,1797
940,Daughter,0,1791
407,Ratatat,0,1785
4245,Chuck Berry,0,1785
1753,Mika,0,1784
6981,Robyn,0,1780
803,Cake,0,1775
2477,Lenny Kravitz,0,1774
2178,Bloodhound Gang,0,1771
1500,Tom Waits,0,1767
3377,Jeff Buckley,0,1767
1686,HIM,0,1758
1293,Good Charlotte,0,1757
2814,Luke Bryan,0,1754
3767,City and Colour,0,1753
2070,Lifehouse,0,1748
9635,Olly Murs,0,1748
6516,Gym Class Heroes,0,1747
1235,Anthrax,0,1745
4262,Dean Martin,0,1744
3946,Infected Mushroom,0,1742
2202,Misfits,0,1741
2008,Childish Gambino,0,1738
55,Anathema,0,1736
2413,The Civil Wars,0,1736
2041,Nelly,0,1735
20070,Mac Miller,0,1735
1485,Young the Giant,0,1729
3555,Goldfrapp,0,1726
2390,Noah and the Whale,0,1725
8269,R. Kelly,0,1725
1716,The All-American Rejects,0,1721
1064,Wilco,0,1721
1512,John Coltrane,0,1720
36798,30 Seconds to Mars,0,1716
1052,Cage the Elephant,0,1715
1400,Sonata Arctica,0,1715
8990,Ice Cube,0,1714
5368,Eddie Vedder,0,1711
2566,Iggy Azalea,0,1708
1422,Katatonia,0,1707
5771,Timbaland,0,1702
5871,Editors,0,1702
886,Yes,0,1699
1259,Tycho,0,1697
15,Neutral Milk Hotel,0,1695
1945,A Tribe Called Quest,0,1692
1565,Washed Out,0,1690
13356,Whitesnake,0,1690
1535,Sade,0,1689
944,The Vaccines,0,1688
109,Tears for Fears,0,1687
5896,Destiny's Child,0,1687
1735,Bill Withers,0,1685
2596,The Glitch Mob,0,1685
4192,The Lonely Island,0,1683
8479,Angus & Julia Stone,0,1682
9809,Flux Pavilion,0,1681
5384,The Cinematic Orchestra,0,1680
2679,Eels,0,1680
2397,Morcheeba,0,1678
1218,God Is An Astronaut,0,1678
394,Little Dragon,0,1677
3604,"Earth, Wind & Fire",0,1675
1015,The Decemberists,0,1674
6771,Behemoth,0,1670
6514,Yellowcard,0,1670
2149,NOFX,0,1668
12956,James Morrison,0,1665
1488,Volbeat,0,1664
1388,Colbie Caillat,0,1663
129,Rod Stewart,0,1660
1704,Dave Matthews Band,0,1659
9521,Benny Benassi,0,1657
2082,Blake Shelton,0,1654
8282,Kenny Chesney,0,1653
936,Stromae,0,1651
5130,George Michael,0,1650
8865,P.O.D.,0,1648
10703,Asking Alexandria,0,1646
7190,Hollywood Undead,0,1643
433,DJ Shadow,0,1642
2088,Neon Trees,0,1639
1484,Machine Head,0,1635
2991,Phantogram,0,1635
1941,SBTRKT,0,1634
2388,Backstreet Boys,0,1633
1285,Howard Shore,0,1630
2811,Carrie Underwood,0,1629
1463,Helloween,0,1619
1402,Jethro Tull,0,1618
5441,Drowning Pool,0,1617
1212,Manu Chao,0,1613
1757,Pet Shop Boys,0,1610
9724,Big Sean,0,1610
3889,Bat for Lashes,0,1606
4046,Daughtry,0,1605
441,Zero 7,0,1604
746,Morrissey,0,1604
1369,Leona Lewis,0,1604
20023,Akon,0,1603
8283,Jason Aldean,0,1594
355,Woodkid,0,1593
1858,Lacuna Coil,0,1588
2483,Cyndi Lauper,0,1587
2793,The Postal Service,0,1587
5835,Supertramp,0,1585
15863,Trey Songz,0,1580
6737,Al Green,0,1579
6191,MÃÂ¶tley CrÃÂ¼e,0,1575
4971,The Pretty Reckless,0,1575
13305,All Time Low,0,1573
4429,Kansas,0,1569
1687,Staind,0,1568
64,Pretty Lights,0,1565
8084,Rudimental,0,1565
1786,Brian Eno,0,1563
3323,Brand New,0,1563
2395,Groove Armada,0,1560
1240,Die Antwoord,0,1560
2044,Arch Enemy,0,1559
5048,The Cardigans,0,1552
1799,My Bloody Valentine,0,1550
2034,Static-X,0,1547
1389,Gavin DeGraw,0,1546
2803,Brad Paisley,0,1545
8151,Eluveitie,0,1542
612,Loreen,0,1540
1824,The Stone Roses,0,1539
9622,2 Chainz,0,1538
3013,HAIM,0,1538
6221,Def Leppard,0,1537
6997,Boston,0,1534
4309,Sam Smith,0,1533
486,Fiona Apple,0,1530
6410,Creed,0,1530
4844,The Hives,0,1527
1977,The Jackson 5,0,1523
5003,The Neighbourhood,0,1523
2196,Flogging Molly,0,1522
2235,Black Rebel Motorcycle Club,0,1516
3868,Epica,0,1514
3126,Paolo Nutini,0,1514
1068,Tom Petty and The Heartbreakers,0,1514
3843,The Kills,0,1501
1658,AFI,0,1499
10585,Etta James,0,1498
3994,As I Lay Dying,0,1498
3992,Gwen Stefani,0,1495
5845,Foreigner,0,1493
8880,The Weeknd,0,1492
6176,Rainbow,0,1489
95,Warpaint,0,1489
3810,First Aid Kit,0,1489
6197,Manowar,0,1487
1302,Tori Amos,0,1486
3953,Hoobastank,0,1486
3117,Biffy Clyro,0,1483
2549,Ariana Grande,0,1483
5008,Fever Ray,0,1482
2410,Ray LaMontagne,0,1480
5532,Matchbox Twenty,0,1478
6103,Ludacris,0,1478
1050,Eurythmics,0,1474
12,Death,0,1471
7067,Billy Idol,0,1467
8506,Stereophonics,0,1465
3036,TV on the Radio,0,1456
3647,The Avett Brothers,0,1455
4796,Sabaton,0,1450
7685,Hurts,0,1445
8535,Ciara,0,1445
409,Flying Lotus,0,1445
1666,Serj Tankian,0,1445
1085,The Raconteurs,0,1443
1047,Ryan Adams,0,1438
3191,Faithless,0,1436
3270,The Head and the Heart,0,1435
7597,The Temptations,0,1432
595,James Vincent McMorrow,0,1431
1044,Ben Harper,0,1430
2500,Andrew Bird,0,1429
1993,Azealia Banks,0,1425
1691,The Used,0,1422
2209,Rancid,0,1421
6107,Wale,0,1421
1214,Spoon,0,1420
431,RJD2,0,1411
2808,Zac Brown Band,0,1410
6807,"Tyler, the Creator",0,1406
3966,Rita Ora,0,1404
7473,Mudvayne,0,1404
3162,Real Estate,0,1401
4058,The Mars Volta,0,1399
7481,Ingrid Michaelson,0,1399
297,Elbow,0,1399
1296,Kraftwerk,0,1398
4787,All That Remains,0,1397
858,Blue ÃÂyster Cult,0,1392
3159,ScHoolboy Q,0,1391
1765,Alabama Shakes,0,1391
5585,Selena Gomez & the Scene,0,1390
5078,Tim McGraw,0,1387
3437,Jake Bugg,0,1383
4303,DMX,0,1382
397,Caribou,0,1380
2061,Gojira,0,1380
1883,Alter Bridge,0,1378
5628,Porter Robinson,0,1376
3251,Meshuggah,0,1374
2533,Crystal Fighters,0,1373
2970,Peter Gabriel,0,1373
2650,Laura Marling,0,1372
13033,White Lies,0,1371
2396,Tricky,0,1371
4782,Ensiferum,0,1370
4243,Busta Rhymes,0,1369
1024,Willie Nelson,0,1368
607,Gnarls Barkley,0,1368
5264,Gossip,0,1367
5371,Paul Kalkbrenner,0,1366
1142,Enigma,0,1365
850,The Allman Brothers Band,0,1363
2520,The Drums,0,1358
5584,Fergie,0,1356
1875,Parkway Drive,0,1355
3179,UNKLE,0,1353
8545,Local Natives,0,1352
118,Scissor Sisters,0,1352
135,B.B. King,0,1352
2335,Feed Me,0,1351
3405,Taking Back Sunday,0,1346
916,Pulp,0,1344
8801,Imogen Heap,0,1343
1755,The Ting Tings,0,1343
777,Sarah McLachlan,0,1342
4950,Roxette,0,1341
6567,Korpiklaani,0,1341
8852,Red,0,1341
14431,Escape the Fate,0,1339
8510,Travis,0,1334
1719,The Fratellis,0,1332
5834,Hall & Oates,0,1330
3640,Portugal. The Man,0,1329
1732,The Wombats,0,1329
3039,Nouvelle Vague,0,1327
5592,Cher Lloyd,0,1325
84,Devendra Banhart,0,1322
6647,Chevelle,0,1319
1071,The Band,0,1318
2287,Afrojack,0,1316
2806,Eric Church,0,1314
3976,Flyleaf,0,1312
5892,Joe Cocker,0,1310
1433,Dark Tranquillity,0,1308
13981,T.I.,0,1308
657,Inna,0,1307
3990,The Animals,0,1306
6549,Cradle of Filth,0,1306
9522,T-Pain,0,1306
1274,Amy Macdonald,0,1305
3628,Thin Lizzy,0,1305
7514,Example,0,1304
724,Joni Mitchell,0,1304
1507,Herbie Hancock,0,1302
1683,Jet,0,1302
5953,Tinie Tempah,0,1298
6188,Europe,0,1298
2232,T. Rex,0,1292
6276,Roy Orbison,0,1291
404,Moderat,0,1291
4771,Bush,0,1288
609,Common,0,1286
3391,Sex Pistols,0,1283
2799,Toby Keith,0,1282
18332,Thousand Foot Krutch,0,1280
4369,Pyotr Ilyich Tchaikovsky,0,1279
2807,Rascal Flatts,0,1278
11007,Archive,0,1278
3869,Labrinth,0,1276
3202,Dimmu Borgir,0,1276
1269,Duffy,0,1275
10996,Theory of a Deadman,0,1273
1348,Siouxsie and the Banshees,0,1272
2089,Miranda Lambert,0,1272
4989,The 1975,0,1270
4032,Survivor,0,1270
2547,Bassnectar,0,1267
6007,Peter Bjorn and John,0,1267
6032,She & Him,0,1265
3576,Claude Debussy,0,1265
1082,Tracy Chapman,0,1264
9091,Mary J. Blige,0,1263
3787,Mike Oldfield,0,1262
2517,Cut Copy,0,1262
4416,Dead Can Dance,0,1262
157,Diana Krall,0,1257
8645,Klaxons,0,1255
5323,Enter Shikari,0,1254
2801,Dusty Springfield,0,1254
1358,Naughty Boy,0,1254
5316,Netsky,0,1251
2240,The Stooges,0,1251
2254,The War on Drugs,0,1248
1981,3OH!3,0,1248
3788,Lionel Richie,0,1246
11708,John Newman,0,1245
12280,Fort Minor,0,1244
3686,Emancipator,0,1243
1696,Lostprophets,0,1230
1726,Sleigh Bells,0,1230
3775,You Me at Six,0,1229
237,Four Tet,0,1228
10580,Franz Schubert,0,1227
949,Purity Ring,0,1226
11459,Simple Minds,0,1226
7523,Atreyu,0,1225
287,Grateful Dead,0,1225
5442,Guano Apes,0,1224
591,CeeLo Green,0,1224
5898,Erykah Badu,0,1221
2586,Knife Party,0,1221
2415,Joshua Radin,0,1220
2014,The Gaslight Anthem,0,1220
1576,ÃÂlafur Arnalds,0,1219
1986,Kelly Rowland,0,1219
17,Burzum,0,1215
1854,Amorphis,0,1213
3241,Fear Factory,0,1213
2009,Skid Row,0,1210
6085,Clint Mansell,0,1209
623,Kool & The Gang,0,1204
1246,London Grammar,0,1203
7402,The Byrds,0,1202
2021,The Mamas & the Papas,0,1199
4426,Frank Zappa,0,1197
8853,Kreator,0,1196
6833,INXS,0,1196
96,Deerhunter,0,1196
1962,Mos Def,0,1194
11605,Michel TelÃÂ³,0,1194
1004,Sam Cooke,0,1194
153,Duke Ellington,0,1193
2312,TrentemÃÂ¸ller,0,1192
3579,Kyuss,0,1192
1675,DJ Fresh,0,1191
921,Patti Smith,0,1191
5634,Rusko,0,1190
11534,Martin Garrix,0,1189
474,Philip Glass,0,1189
7310,Wham!,0,1187
6015,Kaskade,0,1186
4009,Miguel,0,1183
2381,Cher,0,1183
1795,Broken Social Scene,0,1180
664,Bing Crosby,0,1178
9158,James Taylor,0,1175
1237,Testament,0,1174
2499,Heart,0,1174
5068,Cults,0,1174
2774,Jon Hopkins,0,1174
4457,Black Label Society,0,1173
12502,Plain White T's,0,1172
22419,August Burns Red,0,1171
1653,Tom Petty,0,1170
6560,Vangelis,0,1170
5870,Damian Marley,0,1169
8746,Sub Focus,0,1168
974,Radical Face,0,1163
2071,Idina Menzel,0,1162
3875,Noisia,0,1159
5072,Dierks Bentley,0,1158
2835,Toro y Moi,0,1157
9520,DJ Khaled,0,1152
6893,Dope,0,1152
845,Agalloch,0,1148
1618,The Dead Weather,0,1147
5122,Janet Jackson,0,1145
1869,Soilwork,0,1141
3985,Nancy Sinatra,0,1141
231,Yo La Tengo,0,1141
5060,Third Eye Blind,0,1139
1936,ATB,0,1137
3634,The Jesus and Mary Chain,0,1137
1777,Best Coast,0,1136
6175,Hammerfall,0,1136
3435,Cascada,0,1135
9453,Kelis,0,1134
13,Godspeed You! Black Emperor,0,1133
12092,Lil Wayne,0,1132
5969,Muddy Waters,0,1132
8451,Chromeo,0,1132
8476,Tom Odell,0,1131
2509,Yeasayer,0,1131
17532,Matisyahu,0,1130
12174,Tom Waits,0,1129
411,Amon Tobin,0,1127
1728,Dolly Parton,0,1127
7741,King Crimson,0,1127
4815,Chet Baker,0,1126
5055,Silversun Pickups,0,1126
3176,The Libertines,0,1124
256,Pavement,0,1124
5970,John Lee Hooker,0,1123
3169,Kate Nash,0,1121
13321,Mayday Parade,0,1120
1665,DragonForce,0,1120
8642,Run-D.M.C.,0,1119
3523,Atmosphere,0,1119
6709,America,0,1118
184,Fugees,0,1116
4229,Gang Starr,0,1115
7519,Steppenwolf,0,1115
1733,TLC,0,1115
1841,The Pogues,0,1114
2582,Flume,0,1114
6414,Anberlin,0,1114
6181,Accept,0,1113
8500,Selena Gomez,0,1112
8440,Chicago,0,1111
4127,Animals as Leaders,0,1111
1663,Celldweller,0,1109
6203,Buddy Holly,0,1109
3174,Cold War Kids,0,1109
6633,Matt & Kim,0,1109
11107,Jake Owen,0,1109
1954,The Antlers,0,1109
1267,Manic Street Preachers,0,1108
624,Donna Summer,0,1106
5952,Alexandra Stan,0,1103
1814,Echo & the Bunnymen,0,1102
12499,Switchfoot,0,1101
5074,Keith Urban,0,1097
1042,Mark Knopfler,0,1096
210,Friendly Fires,0,1094
338,Apparat,0,1093
6212,Adam Lambert,0,1092
6711,MS MR,0,1091
1844,Cocteau Twins,0,1089
3727,Martin Solveig,0,1089
3601,The Isley Brothers,0,1086
939,Janelle MonÃÂ¡e,0,1084
779,Sheryl Crow,0,1084
6026,College,0,1080
5513,Vance Joy,0,1079
7829,Jamie Cullum,0,1079
14597,Dead by April,0,1079
3389,Mazzy Star,0,1076
603,Lauryn Hill,0,1076
1262,Barenaked Ladies,0,1075
5090,Gogol Bordello,0,1073
4836,Young Jeezy,0,1071
1835,Kate Bush,0,1070
5804,Swans,0,1070
114,Roxy Music,0,1069
3918,Above & Beyond,0,1066
1849,Finntroll,0,1065
1640,George Harrison,0,1064
3766,Architects,0,1064
2389,Spice Girls,0,1064
902,The Horrors,0,1060
5121,Tina Turner,0,1060
903,Future Islands,0,1059
884,Ladytron,0,1056
4131,Paradise Lost,0,1056
1807,Steely Dan,0,1055
7687,Jessie Ware,0,1054
18331,Sick Puppies,0,1052
2817,The Band Perry,0,1052
1254,The Sisters of Mercy,0,1051
31,Coheed and Cambria,0,1050
1790,Dinosaur Jr.,0,1048
991,OK Go,0,1048
8741,Dev,0,1048
402,Mr. Scruff,0,1047
10581,Johannes Brahms,0,1046
5207,Dead Kennedys,0,1046
8917,Alcest,0,1044
1866,Kamelot,0,1044
11671,Don Omar,0,1043
2770,Milky Chance,0,1042
