item_id:token,title:token,sales_type:token,sales_rank:float,categories:token_seq,price:float,brand:token,interaction_count,pop_score,popularity_label
243,Ardell Fashion Lashes - 120 Black Demi,Beauty,81415.0,"'Beauty', 'Tools & Accessories', 'Makeup Brushes & Tools', 'Eyelash Tools', 'Fake Eyelashes & Adhesives'",3.49,Ardell,11427,0.002024743797350557,1
413,"Green Tea by Elizabeth Arden, 1.5 Ounce",Beauty,62491.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions'",10.19,Elizabeth Arden,11354,0.0020118089678059182,1
221,"Nizoral Anti-Dandruff Shampoo, 4 oz.",Beauty,13910.0,"'Beauty', 'Hair Care', 'Shampoos'",7.45,Nizoral,11267,0.0019963934860198415,1
1079,"Tommy Hilfiger Tommy Girl Eau de Toilette Spray for Women, 3.4 Fluid Ounce",Beauty,1047.0,"'Beauty', 'Fragrance', ""Women's"", 'Eau de Parfum'",28.62,Tommy Hilfiger,11256,0.0019944444021158547,1
1009,Happy By Clinique For Men. Cologne Spray 3.4 Ounces,Beauty,116658.0,"'Beauty', 'Fragrance', ""Men's"", 'Cologne'",48.74,Clinique,11181,0.0019811551936795816,1
227,Obagi Nu-Derm Foaming Gel -- 6.7 fl oz,Beauty,214.0,"'Beauty', 'Skin Care'",24.95,Obagi Medical,11163,0.001977965783654876,1
432,Happy By Clinique For Men. Cologne Spray 1.7 Oz.,Beauty,741244.0,"'Beauty', 'Fragrance', ""Men's"", 'Cologne'",32.23,Clinique,11088,0.001964676575218603,0
350,Mar-V-Cide Shampoo Brush &amp; Invigorator,Beauty,227088.0,"'Beauty', 'Hair Care', 'Styling Tools', 'Brushes'",4.81,Marvy,10918,0.0019345543694297175,0
833,Clairol Pure White 40 Volume 16 oz.,Beauty,108295.0,"'Beauty', 'Hair Care', 'Hair Color', 'Chemical Hair Dyes'",3.59,Clairol,10910,0.0019331368538631818,0
552,L'Oreal ColorZap Haircolor Remover,Beauty,457856.0,"'Beauty', 'Hair Care', 'Hair Color', 'Color Correctors'",10.5,L&#39;Oreal Paris,10751,0.0019049637319782829,0
624,Zoya Nail Polish .5 oz. Lola,Beauty,176171.0,"'Beauty', 'Makeup', 'Nails', 'Nail Polish'",11.37,Zoya,10634,0.001884232566817697,0
15,"Maybelline New York Ultra-Liner Liquid Liner, Waterproof, Black 135L-01 , .25 fl oz (7.3 ml)",Beauty,2226.0,"'Beauty', 'Makeup', 'Eyes', 'Eyeliner'",7.96,Maybelline,10611,0.0018801572095639067,0
343,"Dermalogica Multi-active Toner, 8.4 Fluid Ounce",Beauty,16890.0,"'Beauty', 'Skin Care', 'Face', 'Toners & Astringents'",30.43,Dermalogica,10603,0.0018787396939973708,0
896,Village Naturals Bath Shoppe Lavender &amp; Chamomile Foaming Milk Bath 28 fl oz.(Pack of 1),Beauty,387636.0,"'Beauty', 'Bath & Body', 'Bath', 'Bubble Bath'",9.98,Unknown,10502,0.0018608435599698566,0
124,Coanir Facial Sauna System with Timer,Beauty,797.0,"'Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Fluids'",27.75,Conair,10498,0.0018601348021865887,0
362,"Mountain Ocean Skin Trip Moisturizer, Coconut, 8-Ounce",Health & Personal Care,179892.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions'",6.99,Mount Hagen,10495,0.0018596032338491378,0
1010,"Cuba Variety By Cuba For Men. Set-4 Piece Variety spray With Cuba Gold, Blue, Red &amp; Orange &amp; All Are EDT spray 1.17 Ounces",Beauty,116526.0,"'Beauty', 'Fragrance', ""Men's"", 'Sets'",10.05,Cuba,10390,0.0018409983420383555,0
1078,"Lovely by Sarah Jessica Parker for Women, Eau de Parfum, 3.4-Ounce Spray Bottle",Beauty,67547.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions'",25.95,Sarah Jessica Parker,10367,0.001836922984784565,0
518,Spornette My Favorite Mini Nylon Tipped Paddle Brush,Beauty,245627.0,"'Beauty', 'Hair Care', 'Styling Tools', 'Brushes'",7.49,Spornette International,10333,0.001830898543626788,0
35,"Cuticura Medicated Anti-Bacterial Bar Soap, Original Formula - 5.25 oz bar",Beauty,18142.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils'",0.78,Cuticura,10240,0.0018144199251658095,0
48,Complex 15 Therapeutic Moisturizing Face Cream - 2.5 Ounce,,,"'Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers'",,,10221,0.001811053325695287,0
1023,"Curious by Britney Spears for Women, Eau De Parfum Spray, 1.7 Ounce",Beauty,28917.0,"'Beauty', 'Fragrance', ""Women's"", 'Eau de Parfum'",16.95,Britney Spears,10179,0.001803611368970974,0
286,Mane 'n Tail Deep Moisturizing Conditioner,Health & Personal Care,21596.0,"'Beauty', 'Hair Care', 'Conditioners'",3.66,Mane &#39;n Tail,10121,0.0017933343811135896,0
168,"Nivea for Men Energy Face Scrub, 4.4 Ounce Tube",,,"'Beauty', 'Skin Care', 'Face', 'Exfoliators & Scrubs', 'Scrubs'",7.94,Nivea Men,10116,0.0017924484338845048,0
26,Buf-Puf Double-Sided Body Sponge - 1 ea,,,"'Beauty', 'Bath & Body', 'Bathing Accessories', 'Loofahs, Sponges & Poufs'",6.82,Buf-Puf,10026,0.0017765013837609772,0
229,"Nailtiques Formula 2 Nail Growth Formula Treatments, 0.25 Ounce",Beauty,12835.0,"'Beauty', 'Skin Care', 'Hands & Nails', 'Nail Treatments', 'Growth Formula'",8.87,Nailtiques,9878,0.0017502773457800651,0
223,"Neutrogena Norwegian Formula Lip Moisturizer, SPF 15, 0.15 Ounce",Beauty,42049.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils'",4.31,Nuetrogena,9824,0.0017407091157059485,0
143,"Suave Naturals Body Wash, Ocean Breeze - 12oz.",Beauty,134471.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils'",6.41,Suave,9817,0.0017394687895852295,0
1289,"derma e - Psorzema, 4 oz cream [Misc.]",Beauty,178732.0,"'Beauty', 'Bath & Body', 'Scrubs & Body Treatments', 'Body Scrubs'",10.47,Derma E,9810,0.0017382284634645108,0
513,Spa Sister Womens Cotton Moisture Enhancing Overnight Gloves,Health & Personal Care,10686.0,"'Beauty', 'Skin Care', 'Hands & Nails', 'Moisturizing Gloves'",6.38,eBubbles,9688,0.00171661135107484,0
1021,Drakkar Noir By Guy Laroche For Men. Eau De Toilette Spray 3.4 Ounces,Beauty,284770.0,"'Beauty', 'Fragrance', ""Men's"", 'Eau de Toilette'",23.1,Guy Laroche,9587,0.0016987152170473258,0
181,"Aveeno Active Naturals Skin Relief Hand Cream, 3.5 Ounce",,,"'Beauty', 'Skin Care', 'Hands & Nails', 'Hand Creams & Lotions'",7.32,Aveeno,9533,0.0016891469869732092,0
965,Bumble and Bumble Brilliantine (2 Ounces),Beauty,8291.0,"'Beauty', 'Hair Care', 'Styling Products', 'Creams, Gels & Lotions'",25.74,Bumble and Bumble,9453,0.0016749718313078513,0
166,"L'Oreal Paris Superior Preference Hair Color, LB-01 Extra Light Ash Blonde",Beauty,6895.0,"'Beauty', 'Hair Care', 'Hair Color', 'Chemical Hair Dyes'",10.57,L&#39;Oreal Paris,9396,0.0016648720328962838,0
377,"NeoStrata Exuviance CoverBlend Multi Function Concealer SPF15 - Sand, .5 fl oz",Beauty,179929.0,"'Beauty', 'Makeup', 'Face', 'Concealers & Neutralizers'",20.5,Exuviance,9386,0.001663100138438114,0
979,"Symbiotics Colostrum Plus, 240 Capsules",Beauty,382830.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions'",25.22,Symbiotics,9375,0.0016611510545341272,0
428,Ardell Duralash Flare Short Black (56 Lashes),,,"'Beauty', 'Tools & Accessories', 'Makeup Brushes & Tools', 'Eyelash Tools', 'Fake Eyelashes & Adhesives'",4.49,Ardell,9323,0.0016519372033516446,0
644,John Masters Organics - Detangler Citrus &amp; Neroli - 8 oz.,Beauty,8658.0,"'Beauty', 'Hair Care', 'Conditioners'",12.48,John Masters,9276,0.001643609299398247,0
226,Diamancel Tough Buffer #11,Beauty,18237.0,"'Beauty', 'Tools & Accessories', 'Nail Tools', 'Nail Files & Buffers'",31.97,Diamancel,9254,0.0016397111315902735,0
88,"Neutrogena Clean Conditioner, Replenishing , 10.1 Fluid Ounce",,,"'Beauty', 'Hair Care', 'Conditioners'",12.99,Neutrogena,9240,0.001637230479348836,0
971,"Super Nail Acetone Polish Remover, 16 Ounce",Beauty,263384.0,"'Beauty', 'Makeup', 'Nails', 'Nail Polish Remover'",8.06,Super Nail,9232,0.0016358129637823,0
982,"Biosilk Therapy Shine On Spray, 5.30 Ounce",Beauty,377128.0,"'Beauty', 'Hair Care', 'Styling Products', 'Hair Sprays'",12.55,BioSilk,9229,0.001635281395444849,0
851,Sun Laboratories Ultra Dark Self Tanning Spray Can (6 oz),,,"'Beauty', 'Skin Care', 'Sun', 'Self-Tanners & Bronzers'",24.17,Sun Laboratories,9227,0.0016349270165532152,0
1307,Revlon RV544PKF 1875W Tourmaline Ionic Ceramic Dryer,Beauty,567548.0,"'Beauty', 'Hair Care', 'Styling Tools', 'Hair Dryers'",23.92,Revlon,9188,0.0016280166281663533,0
1006,"Ck Be by Calvin Klein for Men and Women, Eau De Toilette, 1.7 Ounce",Beauty,203918.0,"'Beauty', 'Fragrance', ""Women's"", 'Eau de Toilette'",16.64,Calvin Klein,9170,0.0016248272181416477,0
7,"Better Living Classic Two Chamber Dispenser, White",Home &amp; Kitchen,46691.0,"'Beauty', 'Bath & Body', 'Bathing Accessories', 'Bath Trays'",25.99,Classic,9147,0.0016207518608878572,0
831,"Dr. Bronner's Magic Soaps: Liquid Castile Soap, Tea Tree 32 oz",Health & Personal Care,473340.0,"'Beauty', 'Bath & Body', 'Cleansers', 'Soaps'",16.0,Dr. Bronner&#39;s Magic Soaps,9144,0.0016202202925504063,0
516,China Glaze Strong Adhesion Base Coat,Beauty,266880.0,"'Beauty', 'Makeup', 'Nails', 'Top & Base Coats'",2.84,China Glaze,9127,0.001617208071971518,0
263,Dr. Bronner's Almond Soap 32oz,Beauty,1567.0,"'Beauty', 'Bath & Body', 'Cleansers', 'Soaps'",16.99,Dr. Bronner,9106,0.0016134870936093614,0
1005,Bvlgari Aqua By Bvlgari For Men. Eau De Toilette Spray 1.7 Ounces,Beauty,104621.0,"'Beauty', 'Fragrance'",29.25,Bvlgari,9084,0.001609588925801388,0
272,"Bigen Permanent Powder Hair Color, Dark Chestnut, .21 Ounce",Beauty,241516.0,"'Beauty', 'Hair Care', 'Hair Color', 'Chemical Hair Dyes'",0.43,Bigen,9053,0.0016040960529810618,0
1523,Mastex Thermal Heat Cap,Beauty,589601.0,"'Beauty', 'Tools & Accessories'",29.35,Mastex,8952,0.0015861999189535475,0
459,GPB (Glycogen Protein Balance) Conditioner Jumbo Size - 16 oz - Liquid,Beauty,90347.0,"'Beauty', 'Hair Care', 'Conditioners'",12.89,Aubrey Organics,8909,0.0015785807727834176,0
301,"Nutribiotic Skin Ointment, 0.5 Ounce",Health & Personal Care,18581.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Creams'",6.95,Nutribiotic,8900,0.0015769860677710649,0
572,"Laura Mercier Secret Brightening Powder - Secret Brightening Powder #1, 0.14 oz.",Health & Personal Care,483608.0,"'Beauty', 'Makeup', 'Face', 'Concealers & Neutralizers'",24.0,laura mercier,8876,0.0015727335210714575,0
639,Wen by Chaz Dean Tea Tree Cleansing Conditioner 16 oz.,Beauty,151441.0,"'Beauty', 'Hair Care', 'Conditioners'",30.19,WEN&reg; by Chaz Dean,8850,0.0015681265954802161,0
276,Colora Henna Veg-Hair Chestnut 2oz,Beauty,152928.0,"'Beauty', 'Hair Care', 'Hair Color', 'Hennas'",5.2,Colora Henna,8747,0.001549876082561068,0
212,"Household Essentials Grooming Travel Bag Organizer, Black",Home &amp; Kitchen,6748.0,"'Beauty', 'Tools & Accessories', 'Bags & Cases', 'Toiletry Bags'",5.99,Household Essentials,8615,0.0015264870757132273,0
618,Herbacin Kamille Hand Cream with Glycerine - 2.5 oz,Beauty,454620.0,"'Beauty', 'Skin Care', 'Hands & Nails', 'Hand Creams & Lotions'",6.57,Herbacin,8614,0.0015263098862674104,0
106,"Avalon Organics Vitamin C Revitalizing Eye Creme, 1 Ounce Bottle",Beauty,31339.0,"'Beauty', 'Skin Care', 'Eyes', 'Creams'",11.61,Avalon Organics,8554,0.001515678519518392,0
60,"Coty Airspun Face Powder, Naturally Neutral, 2.3 oz",Beauty,14650.0,"'Beauty', 'Makeup', 'Face', 'Powder'",9.99,Coty,8530,0.0015114259728187846,0
82,"Maybelline New York Shine Free Oil Control Loose Powder, Light, 0.7 Ounce",Beauty,4672.0,"'Beauty', 'Makeup', 'Face', 'Powder'",4.9,Maybelline,8446,0.0014965420593701588,0
1644,AcneFree Severe Acne Treatment System,Beauty,153245.0,"'Beauty', 'Skin Care', 'Sets & Kits'",31.5,AcneFree,8426,0.0014929982704538194,0
325,"LILY OF THE DESERT, Aloe Vera Gelly - 12 oz",Health & Personal Care,23301.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions'",9.75,Lily Of The Desert,8384,0.0014855563137295064,0
447,"Frownies Forehead &amp; Between Eyes, 144 Patches",,,"'Beauty', 'Skin Care', 'Face', 'Treatments & Masks'",16.95,Frownies,8358,0.001480949388138265,0
306,Reviva Labs DMAE Firming Fluid - 1 oz,Health & Personal Care,14612.0,"'Beauty', 'Skin Care', 'Face', 'Treatments & Masks'",12.45,Reviva,8351,0.0014797090620175463,0
515,California Tan Sunsets Tanning Eyewear 1-PR Random Picked Colors,Beauty,169707.0,"'Beauty', 'Skin Care', 'Sun'",4.29,California Tan,8298,0.0014703180213892467,0
285,Andrea Eyelash Adhesive: Clear,Beauty,190992.0,"'Beauty', 'Makeup', 'Eyes', 'Eyeliner'",4.49,Andrea,8240,0.0014600410335318622,0
5,Stella McCartney Stella,Beauty,142503.0,"'Beauty', 'Fragrance', ""Women's"", 'Eau de Parfum'",,,8192,0.0014515359401326476,0
244,Cricket Static Free Fast Flo,Beauty,5417.0,"'Beauty', 'Hair Care', 'Styling Tools', 'Brushes'",4.49,Cricket,8166,0.0014469290145414063,0
186,Maybelline Great Lash Curved - Very Black,Beauty,7030.0,"'Beauty', 'Makeup', 'Eyes', 'Mascara'",1.99,Maybelline,8162,0.0014462202567581384,0
453,Natural Missst Herbal Hairspray Mist-Super Hold Aubrey Organics 8 oz Spray,Health & Personal Care,39430.0,"'Beauty', 'Hair Care', 'Styling Products', 'Hair Sprays'",8.49,Aubrey Organics,8146,0.0014433852256250667,0
96,"Neutrogena Pore Refining Toner, Alpha and Beta Hydroxy Formula, 8.5 Ounce",,,"'Beauty', 'Skin Care', 'Face', 'Toners & Astringents'",7.69,Neutrogena,8036,0.0014238943865851996,0
29,"Clean &amp; Clear ESSENTIALS Dual Action Moisturizer, 4 Ounce",,,"'Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Fluids'",5.9,Clean &amp; Clear,8016,0.0014203505976688603,0
49,"DML Daily Facial Moisturizer, SPF 25 - 1.5 Oz",Beauty,8992.0,"'Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers'",13.25,DML,7969,0.0014120226937154624,0
1294,"Fit &amp; Fresh Lunch on the Go Set with Ice Pack, 3 Reusable Containers with Lids, BPA-Free",Kitchen & Dining,16684.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions'",10.69,Fit &amp; Fresh,7903,0.0014003281902915422,0
972,"NOW Foods -  Red Clay Powder Moroccan, 6 OZ.",Beauty,929332.0,"'Beauty', 'Skin Care', 'Face', 'Cleansers'",7.31,Now Foods,7874,0.00139518969636285,0
163,"Conair BC40JBC Hot Brush, White, 0.75 Inch",Beauty,21716.0,"'Beauty', 'Hair Care', 'Styling Tools', 'Hot-Air Brushes'",8.94,Conair,7834,0.001388102118530171,0
1107,"Clubman Youthair Creme, 16 Fluid Ounce",Health & Personal Care,456667.0,"'Beauty', 'Hair Care', 'Styling Products', 'Creams, Gels & Lotions'",10.03,Clubman,7781,0.0013787110779018715,0
182,No Rinse Shampoo - 16 floz (473.1 mL),Health & Personal Care,3934.0,"'Beauty', 'Hair Care', 'Shampoos'",8.97,Clean Life Products,7764,0.0013756988573229829,0
612,"Wilkinson Sword Double Edge single Razor Cartridge, 5 blades",Music,397977.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils'",3.59,Schick,7763,0.0013755216678771659,0
1295,KMS California Hair Play Molding Paste 5.1 oz [Health and Beauty],Beauty,19695.0,"'Beauty', 'Hair Care', 'Styling Products', 'Creams, Gels & Lotions'",14.8,KMS,7730,0.0013696744161652058,0
853,Fruit Of The Earth Bogo Cream Aloe Vera 4oz. Jar,Beauty,95102.0,"'Beauty', 'Skin Care', 'Sun', 'After Sun'",3.14,Fruit of the Earth,7689,0.0013624096488867097,0
908,Clinique Quickliner for Eyes 07 Really Black,Beauty,36787.0,"'Beauty', 'Makeup', 'Lips', 'Lip Liners'",8.94,Clinique,7681,0.001360992133320174,0
662,Aveda Madder Root Conditioner 8.5 Ounces,,,"'Beauty', 'Hair Care', 'Conditioners'",17.55,Aveda,7617,0.0013496520087878877,0
10,Crabtree &amp; Evelyn - Gardener's Ultra-Moisturising Hand Therapy Pump - 250g/8.8 OZ,Beauty,24399.0,"'Beauty', 'Skin Care', 'Hands & Nails', 'Hand Creams & Lotions'",,,7592,0.0013452222726424634,0
1150,Swiss Army By Swiss Army For Men. Eau De Toilette Spray 3.4 Ounces,Beauty,59474.0,"'Beauty', 'Fragrance', ""Men's"", 'Eau de Toilette'",30.48,Swiss Army,7568,0.001340969725942856,0
523,Thermal Spa Hair Wrap - White,Beauty,52829.0,"'Beauty', 'Hair Care', 'Styling Tools', 'Styling Accessories', 'Hair Drying Towels'",24.95,Hair Therapy Wrap,7548,0.0013374259370265167,0
609,MAC Matte Lipstick - Russian Red,Beauty,110027.0,"'Beauty', 'Makeup', 'Lips', 'Lipstick'",15.17,M.A.C,7477,0.0013248454863735114,0
210,"Conair Spiral Styler, 0.75 Inch",Beauty,7904.0,"'Beauty', 'Hair Care', 'Styling Tools', 'Irons', 'Curling Irons'",9.47,Conair,7396,0.0013104931412623365,0
52,"Neutrogena Body Oil, Light Sesame Formula, 8.5 Ounce",,,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils'",4.5,Neutrogena,7360,0.0013041143212129255,0
17,"Vagisil Anti-Itch Creme, Original Formula - 1 oz",Health & Personal Care,21754.0,"'Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils'",3.37,Vagisil,7344,0.001301279290079854,0
617,Algemarin Bubble Bath 750ml bubble bath by Algemarin,Beauty,24195.0,"'Beauty', 'Bath & Body', 'Bath', 'Bubble Bath'",23.99,Algemarin,7341,0.0013007477217424031,0
1118,"Pink Sugar Eau De Toilette Spray by Aquolina, 3.4 Ounce",Beauty,34955.0,"'Beauty', 'Fragrance', ""Women's"", 'Eau de Toilette'",20.25,Aquolina,7277,0.0012894075972101167,0
946,Perfekt Skin Perfection Gel Luminous 1 oz,Beauty,138938.0,"'Beauty', 'Makeup', 'Face', 'Foundation'",59.81,Perfekt,7266,0.00128745851330613,0
499,"Caruso Professional Molecular Steam Rollers with Shields, Small (6-Pack)",Beauty,68754.0,"'Beauty', 'Hair Care', 'Styling Tools', 'Hair Rollers'",9.29,Caruso,7182,0.0012725745998575042,0
944,"Africa's Best Kids Organics Hair Lotion, Shea Butter Detangling Moisturizing 12 oz",Beauty,103288.0,"'Beauty', 'Hair Care', 'Hair & Scalp Treatments'",3.69,Africa&#39;s Best,7156,0.0012679676742662629,0
1067,Kenneth Cole Black By Kenneth Cole For Men. Eau De Toilette Spray 1.7 Ounces,Beauty,413903.0,"'Beauty', 'Fragrance', ""Men's"", 'Eau de Toilette'",23.07,Kenneth Cole,7110,0.0012598169597586822,0
